season,episode,episode_name,director,writer,imdb_rating,total_votes,air_date,n_lines,n_directions,n_words,n_speak_char,main_chars
1,1,Pilot,Ken Kwapis,Ricky Gervais;Stephen Merchant;Greg Daniels,7.6,3706,2005-03-24,229,27,2757,15,Angela;Dwight;Jim;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
1,2,Diversity Day,Ken Kwapis,B.J. Novak,8.3,3566,2005-03-29,203,20,2808,12,Angela;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Ryan;Stanley;Toby
1,3,Health Care,Ken Whittingham,Paul Lieberstein,7.9,2983,2005-04-05,244,21,2769,13,Angela;Dwight;Jim;Kevin;Meredith;Michael;Oscar;Pam;Ryan;Stanley
1,4,The Alliance,Bryan Gordon,Michael Schur,8.1,2886,2005-04-12,243,24,2939,14,Angela;Dwight;Jim;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
1,5,Basketball,Greg Daniels,Greg Daniels,8.4,3179,2005-04-19,230,49,2437,18,Angela;Darryl;Dwight;Jim;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
1,6,Hot Girl,Amy Heckerling,Mindy Kaling,7.8,2852,2005-04-26,346,39,3028,13,Angela;Dwight;Jim;Kevin;Michael;Oscar;Pam;Ryan;Stanley;Toby
2,1,The Dundies,Greg Daniels,Mindy Kaling,8.7,3213,2005-09-20,256,59,2812,20,Angela;Darryl;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
2,2,Sexual Harassment,Ken Kwapis,B.J. Novak,8.2,2736,2005-09-27,283,35,3064,26,Angela;Darryl;Dwight;Jim;Kevin;Meredith;Michael;Pam;Phyllis;Ryan;Stanley;Toby
2,3,Office Olympics,Paul Feig,Michael Schur,8.4,2742,2005-10-04,281,33,2604,14,Angela;Dwight;Jim;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
2,4,The Fire,Ken Kwapis,B.J. Novak,8.4,2713,2005-10-11,319,34,2766,16,Angela;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
2,5,Halloween,Paul Feig,Greg Daniels,8.2,2561,2005-10-18,269,40,2659,16,Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
2,6,The Fight,Ken Kwapis,Gene Stupnitsky;Lee Eisenberg,8.2,2550,2005-11-01,268,38,2517,12,Angela;Dwight;Jim;Kelly;Kevin;Michael;Pam;Ryan;Stanley;Toby
2,7,The Client,Greg Daneils,Paul Lieberstein,8.6,2631,2005-11-08,254,46,2445,14,Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Toby
2,8,Performance Review,Paul Feig,Larry Willmore,8.2,2416,2005-11-15,273,30,2869,14,Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
2,9,E-Mail Surveilance,Paul Feig,Jennifer Celotta,8.4,2527,2005-11-22,275,39,2585,19,Angela;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
2,10,Christmas Party,Charles McDougall,Michael Schur,8.8,2755,2005-12-06,283,42,2788,20,Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
2,11,Booze Cruise,Ken Kwapis,Greg Daniels,8.6,2679,2006-01-05,223,11,2534,16,Angela;Darryl;Dwight;Jim;Kelly;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
2,12,The Injury,Bryan Gordon,Mindy Kaling,9,3282,2006-01-12,361,43,2950,17,Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
2,13,The Secret,Dennie Gordon,Lee Eisenberg;Gene Stupnitsky,8.3,2363,2006-01-19,262,21,2494,16,Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Ryan;Stanley;Toby
2,14,The Carpet,Victor Nelli Jr.,Paul Lieberstein,7.9,2342,2006-01-26,261,67,2758,21,Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
2,15,Boys & Girls,Dennie Gordon,B.J. Novak,8.2,2323,2006-02-02,281,20,3063,21,Angela;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Pam;Phyllis;Ryan;Stanley
2,16,Valentine's Day,Greg Daniels,Michael Schur,8.3,2345,2006-02-09,198,50,2482,18,Angela;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan
2,17,Dwight's Speech,Charles McDougal,Paul Lieberstein,8.4,2463,2006-03-02,206,27,2612,16,Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
2,18,Take Your Daughter to Work Day,Victor Nelli Jr.,Mindy Kaling,8.3,2415,2006-03-16,264,52,2740,25,Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Ryan;Stanley;Toby
2,19,Michael's Birthday,Ken Wittingham,Gene Stupnitsky;Lee Eisenberg,8.1,2337,2006-03-30,248,47,2331,19,Angela;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
2,20,Drug Testing,Greg Daniels,Jennifer Celotta,8.4,2397,2006-04-27,213,33,2628,15,Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
2,21,Conflict Resolution,Greg Daniels,Greg Daniels,8.7,2440,2006-05-04,257,55,2834,17,Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
