x,y,z
-0.577,-2.012,B
0.355,0.395,A
0.983,2.502,B
-1.059,1.063,B
-0.243,-0.271,A
0.558,-0.446,A
-0.821,0.292,A
0.54,-2.514,B
-1.404,0.188,B
-0.234,0.137,A
0.185,-1.894,B
-1.35,0.375,B
-2.128,1.311,B
1.118,1.327,B
-2.462,-0.65,B
0.323,1.059,B
0.981,0.818,B
-1.838,1.044,B
0.794,-1.743,B
-0.059,-0.484,A
-0.944,0.784,B
1.343,-1.621,B
-2.005,1.08,B
-0.605,1.381,B
0.378,-0.19,A
0.418,-0.148,A
-0.917,0.253,A
-0.17,-0.495,A
-0.082,-0.187,A
0.784,-0.307,A
-1.294,-0.712,B
-0.791,-0.391,A
-0.433,-1.8,B
1.149,-1.18,B
-1.674,-0.416,B
0.242,0.058,A
1.44,1.577,B
1.098,-0.676,B
-1.286,0.65,B
-0.263,1.59,B
2.254,-0.632,B
-0.657,1.56,B
-1.933,0.663,B
2.183,0.99,B
-0.73,1.812,B
1.57,0.329,B
-1.125,-1.165,B
1.356,-0.176,B
-1.164,-1.578,B
0.731,-0.242,A
0.081,0.781,A
-0.199,-0.256,A
0.203,-0.547,A
0.488,1.006,B
1.445,-1.46,B
0.507,-0.255,A
0.208,-0.037,A
-0.022,-0.656,A
-0.815,0.995,B
-0.214,-0.092,A
-0.022,0.946,A
1.047,-1.396,B
-1.584,-2.196,B
-0.85,-0.212,A
0.124,-0.449,A
1.047,-0.854,B
0.504,-0.353,A
0.036,0.788,A
-0.064,0.865,A
0.901,0.08,A
0.872,1.793,B
1.268,-1.986,B
0.611,-2.698,B
-2.21,0.329,B
0.418,-1.245,B
-1.363,1.297,B
-0.536,0.692,A
0.15,-1.383,B
0.477,0.134,A
0.619,-0.098,A
0.487,-0.297,A
1.332,-1.22,B
1.513,-1.07,B
-0.36,1.638,B
-1.046,-1.495,B
-1.355,1.829,B
-1.144,-0.554,B
-0.193,-1.584,B
0.14,-0.188,A
0.184,-0.207,A
0.468,-0.277,A
0.291,-0.749,A
0.367,-1.048,B
-1.323,-0.883,B
1.405,0.822,B
-0.413,0.774,A
-0.769,0.122,A
-0.344,0.623,A
0.304,-0.78,A
-0.484,0.429,A
1.726,-0.147,B
-0.65,0.507,A
-0.669,-1.776,B
0.096,-0.25,A
0.455,0.002,A
0.386,-1.623,B
2.363,-0.161,B
0.51,0.11,A
0.101,-0.303,A
0.168,0.391,A
0.43,-1.926,B
1.07,-0.899,B
0.268,1.164,B
1.342,-0.874,B
